,readings,ntu
0,73.875,0
1,76.875,0
2,75.25,0
3,73.375,0
4,72.25,0
15,115.625,600
14,150.125,880
13,180.625,1160
12,222.25,1440
11,292.375,1720
10,364.5,2000
9,462.75,2280
8,586.875,2560
7,706.375,2840
6,918.375,3120
5,998.75,3400
