,readings,ntu
0,76.5,0
1,78.5,0
2,78.125,0
3,74.0,0
15,79.375,0
14,117.5,600
13,148.875,880
12,184.25,1160
11,225.875,1440
10,286.5,1720
9,368.0,2000
8,454.75,2280
7,579.875,2560
6,711.0,2840
5,898.875,3120
4,1020.125,3400
