,readings,ntu
4,77.125,0
5,89.125,0
6,84.625,0
7,79.375,0
8,79.375,0
3,126.875,600
2,175.125,880
1,209.375,1160
0,270.875,1440
15,324.375,1720
14,395.0,2000
13,483.875,2280
12,668.25,2560
11,788.5,2840
10,967.75,3120
