,readings,ntu
0,78.125,0
12,79.0,0
13,79.625,0
14,77.625,0
15,77.5,0
11,125.0,600
10,155.375,880
9,188.875,1160
8,237.75,1440
7,299.0,1720
6,370.0,2000
5,493.375,2280
4,616.5,2560
3,754.75,2840
2,960.0,3120
1,980.25,3400
