,readings,ntu
1,78.625,0
2,77.125,0
3,75.25,0
4,75.875,0
5,76.375,0
0,121.375,600
15,153.0,880
14,190.625,1160
13,235.625,1440
12,306.25,1720
11,385.75,2000
10,489.125,2280
9,644.25,2560
8,766.75,2840
7,987.125,3120
