,readings,ntu
6,81.375,0
7,78.0,0
8,74.875,0
9,79.75,0
10,79.5,0
5,120.125,600
4,169.125,880
3,191.5,1160
2,250.0,1440
1,332.375,1720
0,391.75,2000
15,460.875,2280
14,607.0,2560
13,755.625,2840
12,928.0,3120
