,readings,ntu
7,76.08333333333333,0.0
8,78.83333333333333,0.0
9,82.66666666666667,46.875
0,78.75,62.5
10,88.75,93.75
1,85.5,125.0
11,92.41666666666667,187.5
2,93.41666666666667,250.0
12,104.0,375.0
3,113.75,500.0
13,139.25,750.0
4,170.66666666666666,1000.0
14,383.1666666666667,1500.0
5,600.3333333333334,2000.0
15,868.3333333333334,3000.0
6,1001.75,4000.0
