,readings,ntu
10,84.5,0
11,86.0,0
12,83.5,0
13,86.75,0
14,84.75,0
9,128.75,600
8,170.25,880
7,208.375,1160
6,251.0,1440
5,327.875,1720
4,390.0,2000
3,492.375,2280
2,628.625,2560
1,784.0,2840
0,981.75,3120
15,1004.0,3400
