,readings,ntu
3,73.5,0
4,77.125,0
5,75.25,0
6,74.25,0
7,75.25,0
2,122.875,600
1,151.5,880
0,191.0,1160
15,237.125,1440
14,290.25,1720
13,371.125,2000
12,488.125,2280
11,615.375,2560
10,758.0,2840
9,988.625,3120
