,readings,ntu
2,84.375,0
3,87.25,0
4,84.0,0
5,83.375,0
6,85.125,0
1,133.0,600
0,168.25,880
15,208.75,1160
14,250.375,1440
13,313.75,1720
12,396.375,2000
11,498.0,2280
10,639.375,2560
9,780.25,2840
8,987.875,3120
