,readings,ntu
11,88.25,0
12,92.5,0
13,89.875,0
14,89.5,0
15,88.125,0
10,131.125,600
9,183.625,880
8,212.25,1160
7,266.0,1440
6,315.5,1720
5,396.625,2000
4,506.75,2280
3,660.5,2560
2,796.875,2840
1,982.875,3120
0,1003.25,3400
