,readings,ntu
13,74.08333333333333,0.0
14,76.33333333333333,0.0
15,80.91666666666667,46.875
6,80.08333333333333,62.5
0,86.33333333333333,93.75
7,85.0,125.0
1,86.25,187.5
8,91.33333333333333,250.0
2,106.5,375.0
9,109.83333333333333,500.0
3,139.91666666666666,750.0
10,177.08333333333334,1000.0
4,263.0833333333333,1500.0
11,585.0833333333334,2000.0
5,828.5833333333334,3000.0
12,1019.4166666666666,4000.0
