,readings,ntu
7,83.25,0
8,80.875,0
9,81.0,0
10,81.375,0
11,83.875,0
6,129.875,600
5,168.0,880
4,196.25,1160
3,247.5,1440
2,316.5,1720
1,393.5,2000
0,502.5,2280
15,596.625,2560
14,740.25,2840
13,923.625,3120
