,readings,ntu
0,75.875,0
1,79.875,0
12,79.625,0
13,79.625,0
14,78.125,0
11,122.875,600
10,161.0,880
9,235.625,1440
8,297.25,1720
7,357.625,2000
6,470.5,2280
5,578.25,2560
4,700.125,2840
3,902.875,3120
2,1008.25,3400
