,readings,ntu
5,88.5,0
6,87.875,0
7,82.875,0
8,81.25,0
9,88.0,0
4,133.375,600
3,166.0,880
2,222.0,1160
1,263.5,1440
0,356.75,1720
15,389.0,2000
14,476.625,2280
13,648.375,2560
12,708.625,2840
11,914.0,3120
