,readings,ntu
1,73.58333333333333,0.0
2,71.25,0.0
3,78.08333333333333,46.875
10,81.16666666666667,62.5
4,80.58333333333333,93.75
11,85.0,125.0
5,87.0,187.5
12,95.0,250.0
6,99.0,375.0
13,110.58333333333333,500.0
7,139.75,750.0
14,164.83333333333334,1000.0
8,400.0833333333333,1500.0
15,607.5833333333334,2000.0
9,902.4166666666666,3000.0
