,readings,ntu
9,77.125,0
10,78.625,0
11,77.625,0
12,79.75,0
13,77.5,0
8,121.875,600
7,159.125,880
6,190.5,1160
5,240.375,1440
4,317.125,1720
3,375.875,2000
2,485.375,2280
1,634.5,2560
0,783.0,2840
15,904.75,3120
14,1003.5,3400
