,readings,ntu
8,84.375,0
9,93.125,0
10,83.25,0
11,89.5,0
12,78.75,0
7,129.25,600
6,169.875,880
5,201.875,1160
4,245.0,1440
3,300.25,1720
2,390.75,2000
1,510.25,2280
0,638.75,2560
15,746.5,2840
14,924.0,3120
