,readings,ntu
9,92.08333333333333,0.0
10,87.41666666666667,0.0
11,90.5,46.875
2,89.5,62.5
12,98.83333333333333,93.75
3,97.58333333333333,125.0
13,99.0,187.5
4,102.66666666666667,250.0
14,118.16666666666667,375.0
5,121.58333333333333,500.0
15,157.16666666666666,750.0
6,183.41666666666666,1000.0
0,277.25,1500.0
7,616.9166666666666,2000.0
1,929.4166666666666,3000.0
8,1004.5833333333334,4000.0
