,readings,ntu
3,100.41666666666667,0.0
4,84.08333333333333,0.0
5,94.16666666666667,46.875
12,88.83333333333333,62.5
6,94.66666666666667,93.75
13,103.83333333333333,125.0
7,108.33333333333333,187.5
14,104.25,250.0
8,111.33333333333333,375.0
15,130.75,500.0
9,161.33333333333334,750.0
0,186.25,1000.0
10,397.1666666666667,1500.0
1,600.8333333333334,2000.0
11,861.0,3000.0
