INFO:root:T= 1649938220.314132 | asked for command Pump H4 OFF
INFO:root:T= 1649938220.314132 | asked for command Pump H5 OFF
INFO:root:T= 1649938220.314132 | finished for command Pump H3 OFF
INFO:root:T= 1649938220.334132 | asked for command Pump H6 OFF
INFO:root:T= 1649938220.334132 | finished for command Pump H5 OFF
INFO:root:T= 1649938220.334132 | finished for command Pump H4 OFF
INFO:root:T= 1649938220.344132 | asked for command Pump H7 OFF
INFO:root:T= 1649938220.344132 | asked for command Pump H8 OFF
INFO:root:T= 1649938220.354132 | finished for command Pump H7 OFF
INFO:root:T= 1649938220.354132 | finished for command Pump H6 OFF
INFO:root:T= 1649938220.354132 | finished for command Pump H8 OFF
INFO:root:T= 1649938220.354132 | sending request blink/2 to the ot2
INFO:root:T= 1649938221.334133 | Finished request blink/2 to the ot2
INFO:root:T= 1649938221.334133 | asked for opening Pump L1 for duration 3.000000 seconds
INFO:root:T= 1649938221.334133 | asked for command Pump L1 ON
INFO:root:T= 1649938221.354134 | finished for command Pump L1 ON
INFO:root:T= 1649938221.354134 | asked for opening Pump L2 for duration 3.000000 seconds
INFO:root:T= 1649938221.354134 | asked for command Pump L2 ON
INFO:root:T= 1649938221.364133 | finished for command Pump L2 ON
INFO:root:T= 1649938221.364133 | asked for opening Pump L3 for duration 3.000000 seconds
INFO:root:T= 1649938221.364133 | asked for command Pump L3 ON
INFO:root:T= 1649938221.374134 | finished for command Pump L3 ON
INFO:root:T= 1649938221.374134 | asked for opening Pump L4 for duration 3.000000 seconds
INFO:root:T= 1649938221.374134 | asked for command Pump L4 ON
INFO:root:T= 1649938221.384133 | finished for command Pump L4 ON
INFO:root:T= 1649938221.384133 | asked for opening Pump L5 for duration 3.000000 seconds
INFO:root:T= 1649938221.384133 | asked for command Pump L5 ON
INFO:root:T= 1649938221.394134 | finished for command Pump L5 ON
INFO:root:T= 1649938221.394134 | asked for opening Pump L6 for duration 3.000000 seconds
INFO:root:T= 1649938221.394134 | asked for command Pump L6 ON
INFO:root:T= 1649938221.404133 | finished for command Pump L6 ON
INFO:root:T= 1649938221.404133 | asked for opening Pump L7 for duration 3.000000 seconds
INFO:root:T= 1649938221.404133 | asked for command Pump L7 ON
INFO:root:T= 1649938221.414134 | finished for command Pump L7 ON
INFO:root:T= 1649938221.414134 | asked for opening Pump L8 for duration 3.000000 seconds
INFO:root:T= 1649938221.414134 | asked for command Pump L8 ON
INFO:root:T= 1649938221.424133 | finished for command Pump L8 ON
INFO:root:T= 1649938224.354138 | asked for command Pump L1 OFF
INFO:root:T= 1649938224.364137 | finished for command Pump L1 OFF
